complaint,polarity
Unsegregated Garbage dumped in bsnl customer care  centre in jaynagar 4th block,0
Health hazard for children playing in the park,0
Garbage dump on side of road,0
A lot of garbage is being dumped along road ,0
Unsegregated waste is being dumped on roadsides,-0.4
Waste is being  thrown on footpaths and is not cleared ,-0.4
This pile of garbage is something nobody looks forward to waking up at...This is right in front of our apartment and is very horrible to look at.,-0.714285714
Continuous illegal dumping of garbage by people,-1
It's smelly and stretched over the footpath,-0.1
Garbage thrown next to footpath,0
Waste is thrown here from a shop and burnt,-0.4
Lots of garbage,0
Garbage,0
It's been cleaned but people keep putting waste here. It smells really bad,-0.9
Use a dustbin,0
This is the garbage dump right behind R T Nagar Police station. They clear the garbage once in a while but residents dump here often as they have no choice.,-0.00952381
The garbage dump behind R T Nagar post office. This is right next to Sharanya Children’s orphanage. Can be extremely harmful for residents and kids,-0.119642857
Garbage thrown on main road. It's stinky and as you can see cows are eating plastic filled garbage,-0.433333333
It's huge dump. Not cleaned from a long time. It's stinking badly,-0.233333333
It's right next to dustbins. But it's coming on to road now.,-0.714285714
3 spots with heaps of dry leaves are there. People have started dumping garbage on these heaps of leaves. If left unchecked  can turn into a big menace.,-0.044444444
The garbage dump behind R T Nagar Police station. This is a regular nuisance to the residents in the surrounding houses,-0.4
The society is beautiful and has gardens,0.7
Cleanest area in our neighbourhood,0
The place has flowers and children are happy,0.6
Healthy and optimum air,0.2
Cleanest area in our locality,0
My area does not have garbage anymore,0
Health hazard,0
garbage being dumped,0
Trees cut in large numbers and put in the middle of the road ,-0.785714286
Garbade dumped infront of house and not cleared for days,0
garbage blocking footpath. ,0
Garbage bins are not been cleared regularly. This leads to stagnation of waste and breeding of mosquitoes which future leads to spreading of diseases. ,-0.133333333
There has been constant leakage of filthy sewage water flowing upto the road. We ae approaching monsoon season I saw know the extent of the sewage during rainy days last year. ,-0.4
The ground is full of water even for a small rain. Children are not able to play in the ground whenever there is low rainfall. ,-0.075
Parking in wrong places is one among the most common mistakes found in our country. We need to prevent this ,-0.2
Potholes ,0
Cable wire ,0
Filled with water ,-0.2
Pothole on footpath ,0
Pothole filled with water ,-0.2
Pothole on the hole ,0
Flooding  ,0
Please clean the plastic and other dirts.if it is not cleaned both soil and land pollution take place.please clean it.if we plant tree  the plant will not grow. Please please clean it. ,-0.5125
Overflows.. ,0
Clear this up ,-0.8
Putting the waste in the roads ,-0.4
No street light ,-0.2
I have many times noticed water dripping from water tank. This might be due to the overfilling of water. So I hope they soon get awareness about it. ,-0.625
Wrong parking  ,-1
Clear this up ,-0.8
There is no proper collection of waste n it's not  good to see the waste in land ,-0.375
Waste disposed in roads government must take responsibility to clean up and ensure clean city citizens also must take up a responsibility to make our surroundings clean  ,-0.55
They didn't collect waste properly ,-0.2
Waste disposed in roads  ,-0.4
There are potholes on foot paths which connects nagarjuna and Purva Venezia. The staff use this to go home in night. There is a fruit stall beside this and it gets affected. ,0
Everyday the local people dump garbage here. It's become a big nuisance in our community. Animals gather around this and when it rains,-0.133333333
This is another garbage dump frequently being replenished no matter how many times the BBMP workers clean it. ,-0.355555556
The entry to Convent road from residency road is very dark. People use their phone torches to walk. Not working for more than 1.5 months. Please fix the lights ,-0.695
Air pollution ,0
The trees in Gopalapuram 1st main road have been cut down for no reason. This not only decreases the production of oxygen ,-0.992592593
Should clear this as there is an increase in mosquitoes ,-0.8
Garbage overflows ,0
There an overflow of garbage ,0
So uneasy ,0
Garbage dumps in my area ,0
Dirty locality ,-1.2
Very bad ,-1.82
Smelly ,0
Urban flooding region on the main road ,-0.833333333
Garbage dumped in the area enclosed for metro construction ,0
Water collected at the side of the road after rain ,0
Water logging by the road side ,0
Water collected in the middle of the main road and is very inconvenient for those travelling ,-0.408888889
Main road water collection. Very inconvenient for riding ,-0.613333333
A line full of cars and other vehicles park in front of my apartment everyday but there is no one to stop them. It is occupying road space,-0.983333333
Excessive garbage in a field ,-0.5
Cannot breathe ,0
Omg how bad people are ,-1.4
These areas where once foot paths for people to walk but now they are drainages ,0
Frequent building up of waste ,-0.1
Water is black and is not cleaned properly for apartment houses here. Smell is horrible and most smell is left out here in bathrooms after adding air freshners too. Need Help.It is Very greenish black ,-0.180952381
Encroachment of public space for commercial purpose ,0
Cars are parked where ever they want it ,0
Open Dump in service road which leads to open defecation. ,0
The street light ,-0.2
These holes make communication more inconvenient for  vehicles . ,-0.1
The garbage bin is overflowing and not maintained  ,0
Garbage bin overflowing and not maintained ,0
The  construction materials have been kept on the roads . ,0
It disposed in street... It leads to many problems ,0
Garbage outside the dustbin. ,0
Dustbin full and garbage outside dustbin. ,-0.65
This pollution must be abolished,0
It may cause many accidents. It causes traffic jam. ,0
Our mistake by throwing plastics on road sides = animals suffer and die ,0
Most of them daily throughing  garages in the vacant plot adjusent to vellamal school,-0.5
There is a college nearby...waste have been dumped and its stinky too ,0
Due to stagnent water mosquitos may appear ,-0.25
Citizens are throwing garbage in night time  ,0
Their are collecting the waste ,-0.4
If the water taps are not closed properly or if the knob is not tight water leaks out and hence water gets wasted in large quantities.  ,-0.938571429
Found wires dangling on the gate of a house in Gopalapuram 2 nd street. Hope this issue would be looked upon due to its risk.,-0.25
There is continuously water logging and it is not cleaned properly also when rain comes ,0
Air is getting polluted a lot by vehicles and people are eve unable to walk ,-1
Dangerous dangling of live wires and poor maintenance of a current box ,-0.431818182
Streetlights are not repaired and it is very dark and difficult to drive or ride ,-0.695
Bikes and other vehicles illegally use the bus depot and the bus depot is mostly logged with water ,-0.083333333
Dangling and the atrocities caused by a prickly climber which leads to entry of insects ,0
Water logging ,0
Very poor maintenance of a cable wire ,-1.04
No water flow so we must clean it ,-0.266666667
Pothole trouble ,-0.4
Water lorries are not coming even in alternative days ,0
For fixing a pathway the danger has got increased ,0
Most dangerous during rainy days when walkers are pushed almost to the centre of a main road ,-0.955555556
The vchical is standing  and the water  can not flow ,0
Public restroom used as a dumpyard ,0
There are so many ???? have been parked here in the platform so please tell them to take them out. ,0
This the garbage ???? bin which is not overflowing but it really stinks ???? so pls clean ???? it up. ,-0.233333333
Potb holes on the road!!!  Due to this hole many ,-0.625
Accidents take place governmentust take action in these problem ,-0.8
This is dangling here. When we cross the road by walk-in we may slip. So please repair it. ,0
There is a transformer near this waterlogged place and it is highly risky to cross this area and many crows die and fall on the road due to this ,-0.746
There is no proper collection of garbege ,0
It is for saving water not for putting waste ,-0.4
About the manholes. Every day the manhole and more mosquitoes are coming out .if human by mistake falls on it that's it.many people suffering from diseases.foul smell is coming. Please repair it. ,-0.5
Don't do this any more ,0
Don't do it any more ,0
Need to be repaired soon ,0
Leads to a accident ,0
Wires are on the road ,0
Home for misquotes ,0
The waste is extreme and is mixed and has a very bad odour ,-0.6175
The dustbin gets overflowed and it emits a lot of smell ,0
